grupo,periodo,metrica,numerador,denominador,valor,unidade,condicao,observacao
serie,NOV/25,conversao,0,2,0.00,%,borda,mês parcial; 2 despachos
serie,DEZ/25,conversao,126,285,44.21,%,integral,
serie,JAN/26,conversao,138,292,47.26,%,integral,
serie,FEV/26,conversao,178,347,51.30,%,integral,
serie,MAR/26,conversao,189,373,50.67,%,integral,
serie,ABR/26,conversao,250,414,60.39,%,integral,
serie,MAI/26,conversao,18,48,37.50,%,borda,cinco dias
janela,28.11.2025–05.05.2026,registros_atribuidos,,,1896,registros,,universo bruto
janela,28.11.2025–05.05.2026,registros_sem_despacho,,,135,registros,,excluídos do denominador publicado de conversão
janela,28.11.2025–05.05.2026,despachos_proferidos,,,1761,despachos,,denominador publicado
janela,28.11.2025–05.05.2026,votos_publicados,,,899,votos,,numerador publicado
janela,28.11.2025–05.05.2026,despachos_sem_voto,,,862,despachos,,
janela,28.11.2025–05.05.2026,conversao_publicada,899,1761,51.05,%,com bordas,
recorte_integral,DEZ/25–ABR/26,conversao,881,1711,51.49,%,cinco meses integrais,"exclusão das bordas altera 0,44 p.p."
teste_adversarial,28.11.2025–05.05.2026,conversao_bruta_rejeitada,899,1896,47.42,%,rejeitado,inclui 135 registros ainda sem despacho
serie,DEZ/25–ABR/26,amplitude,,,16.18,p.p.,cinco meses integrais,"60,39 − 44,21"
fila,28.11.2025–05.05.2026,media_ate_voto,,,13.2,dias,,Data Despacho − Data Envio; incorpora fila da unidade e tempo de trabalho
fila,28.11.2025–05.05.2026,media_despachos_sem_voto,,,6.9,dias,,Data Despacho − Data Envio; incorpora fila da unidade e tempo de trabalho
fila,28.11.2025–05.05.2026,media_composta_referencia,,,10.1,dias,referência,não publicada como indicador principal
autor,28.11.2025–05.05.2026,conversao_individual,153,258,59.30,%,autor,indicador autônomo; sem benchmark de terceiros
